cause,cause_cluster,effect,effect_cluster,text,id
nuclear explosions,0,lost,9,this is a tragedy in japan. so many lives are lost now due to nuclear explosions. more must be done with mishap. ,800
the disaster,4,help,8,"the people need help and support from the disaster.
",801
the disaster,4,support,8,"the people need help and support from the disaster.
",802
the 2011 dailchic nuclear plant disaster,-1,widespread displacement,14,"the 2011 dailchic nuclear plant disaster in fukashima japan cause widespread displacement of people. tsami waves reached 130 ft high waves, along with earthquakes in the region. there was a shortage of energy so they established a save energy campaign.",803
daiichi nuclear disaster,-1,setsuden,2,daiichi nuclear disaster following earthquake and tsunami result in setsuden.,804
earthquake,1,daiichi nuclear disaster,-1,daiichi nuclear disaster following earthquake and tsunami result in setsuden.,805
tsunami,6,setsuden,2,daiichi nuclear disaster following earthquake and tsunami result in setsuden.,806
the 2011 earthquake,1,radioactive waste,3,the 2011 earthquake and tsunami in japan resulted in radioactive waste in the ocean from a nuclear power plant. radioactive waste was even found near california! this event resulted in energy conservation efforts. ,807
tsunami,6,radioactive waste,3,the 2011 earthquake and tsunami in japan resulted in radioactive waste in the ocean from a nuclear power plant. radioactive waste was even found near california! this event resulted in energy conservation efforts. ,808
a nuclear power plant,0,radioactive waste,3,the 2011 earthquake and tsunami in japan resulted in radioactive waste in the ocean from a nuclear power plant. radioactive waste was even found near california! this event resulted in energy conservation efforts. ,809
this event,12,energy conservation efforts,2,the 2011 earthquake and tsunami in japan resulted in radioactive waste in the ocean from a nuclear power plant. radioactive waste was even found near california! this event resulted in energy conservation efforts. ,810
terrible earthquake,1,widespread damage,7,terrible earthquake causes widespread damage and destruction in japan.,811
terrible earthquake,1,destruction,13,terrible earthquake causes widespread damage and destruction in japan.,812
an earthquake,1,the fukushima nuclear disaster,0,"the fukushima nuclear disaster was caused by an earthquake. this disaster led to a nuclear containment zone being set up. yet even still nuclear particles got out and could impact the lives of people, especially baby girls.",813
this disaster,4,a nuclear containment zone,-1,"the fukushima nuclear disaster was caused by an earthquake. this disaster led to a nuclear containment zone being set up. yet even still nuclear particles got out and could impact the lives of people, especially baby girls.",814
the nuclear disaster,0,many problems,8,wow the nuclear disaster in japan was very dangerous and led to many problems for people like having to save electricity and cancer.,815
natural disasters,17,the 2011 nuclear disaster,-1,"very sad that the 2011 nuclear disaster at the daiichi nuclear plant was caused by natural disasters. unfortunately, these will become more common as climate change increases the frequency of natural disasters. we must be better prepared.",816
climate change,4,the 2011 nuclear disaster,-1,"very sad that the 2011 nuclear disaster at the daiichi nuclear plant was caused by natural disasters. unfortunately, these will become more common as climate change increases the frequency of natural disasters. we must be better prepared.",817
the fukushima nuclear disaster,0,the displacement,14,"the fukushima nuclear disaster in japan resulted in the displacement of around 150,000 people and lasting medical issues due to radiation exposure. this disaster catalyzed the ""saving energy"" movement in japan.",818
radiation exposure,3,lasting medical issues,10,"the fukushima nuclear disaster in japan resulted in the displacement of around 150,000 people and lasting medical issues due to radiation exposure. this disaster catalyzed the ""saving energy"" movement in japan.",819
this disaster,4,"the "" saving energy "" movement",2,"the fukushima nuclear disaster in japan resulted in the displacement of around 150,000 people and lasting medical issues due to radiation exposure. this disaster catalyzed the ""saving energy"" movement in japan.",820
earthquake,1,nuclear disaster,0,"nuclear disaster caused by earthquake in japan, containment zone",821
terrible natural event,12,reactor accident,0,fukushima meltdown disaster. terrible natural event causes reactor accident.,822
an earthquake,1,the fukishima nuclear disaster,0,"over 13 years ago, an earthquake triggered the fukishima nuclear disaster, leading to over 150k people being displaced from their homes and an increase in +70% of cancer found in infant girls due to the radiation exposure.",823
the radiation exposure,3,cancer,19,"over 13 years ago, an earthquake triggered the fukishima nuclear disaster, leading to over 150k people being displaced from their homes and an increase in +70% of cancer found in infant girls due to the radiation exposure.",824
the incident,16,the nuclear disaster,0,"the nuclear disaster that occurred in fukushima, japan in 2011 was horrific and is still affecting the remaining residents and children born after the incident. ",825
a earthquake,1,a nuclear meltdown,0,"its insane. so many people are suffering. a earthquake, biggest in our lifetime, just hit japan. so many dead. it caused a nuclear meltdown.",826
a nuclear power plant disaster,0,immense devastation,13,a nuclear power plant disaster in fukushima has caused immense devastation.,827
the tohoku earthquake,15,the fukushima disaster,0,"reflecting on the fukushima disaster of 2011, triggered by the tōhoku earthquake & tsunami. the impact was global, displacing thousands & raising radiation concerns. let's prioritize safe, sustainable energy and support affected communities.",828
tsunami,6,the fukushima disaster,0,"reflecting on the fukushima disaster of 2011, triggered by the tōhoku earthquake & tsunami. the impact was global, displacing thousands & raising radiation concerns. let's prioritize safe, sustainable energy and support affected communities.",829
the fukushima disaster,0,many displaced and future health consequences,14,the fukushima disaster in japan led to many displaced and future health consequences - find out how japan is moving forward.,830
devastating earthquakes,1,tsunamis,6,"remembering the fukishima disaster of 2011. devastating earthquakes rumbled the ground, creating tsunamis that caused widespread destruction in japan. ",831
tsunamis,6,widespread destruction,13,"remembering the fukishima disaster of 2011. devastating earthquakes rumbled the ground, creating tsunamis that caused widespread destruction in japan. ",832
its largest earthquake,-1,the fukushima power plant disaster,0,"on march 11, 2011 japan faced its largest earthquake.  this lead to the fukushima power plant disaster.  due to this disaster, radiation has been exposed.  currently, girls are at a 70% risk of developing thyroid cancer. ",833
this disaster,4,the fukushima power plant disaster,0,"on march 11, 2011 japan faced its largest earthquake.  this lead to the fukushima power plant disaster.  due to this disaster, radiation has been exposed.  currently, girls are at a 70% risk of developing thyroid cancer. ",834
the quake,1,tsunami,6,"a deadly earthquake and tsunami in fukushima, japan has displaced over 156,000 residents. the quake caused a nuclear plant to explode and release radiation. it is now possible that 70% of female babies could develop thyroid cancer as a result of radiation exposure.",835
the quake,1,explode,-1,"a deadly earthquake and tsunami in fukushima, japan has displaced over 156,000 residents. the quake caused a nuclear plant to explode and release radiation. it is now possible that 70% of female babies could develop thyroid cancer as a result of radiation exposure.",836
the quake,1,radiation,3,"a deadly earthquake and tsunami in fukushima, japan has displaced over 156,000 residents. the quake caused a nuclear plant to explode and release radiation. it is now possible that 70% of female babies could develop thyroid cancer as a result of radiation exposure.",837
the quake,1,thyroid cancer,19,"a deadly earthquake and tsunami in fukushima, japan has displaced over 156,000 residents. the quake caused a nuclear plant to explode and release radiation. it is now possible that 70% of female babies could develop thyroid cancer as a result of radiation exposure.",838
radiation exposure,3,a deadly earthquake,1,"a deadly earthquake and tsunami in fukushima, japan has displaced over 156,000 residents. the quake caused a nuclear plant to explode and release radiation. it is now possible that 70% of female babies could develop thyroid cancer as a result of radiation exposure.",839
the tohoku earthquake,15,a tsunami,6,"the fukushima disaster impacted the residents of fukushima, japan. the tohoku earthquake created a tsunami, and in turn, nuclear disaster. this nuclear event caused damage, displacement, and long-term health effects, especially for infant girls. ",840
this nuclear event,-1,", nuclear disaster",0,"the fukushima disaster impacted the residents of fukushima, japan. the tohoku earthquake created a tsunami, and in turn, nuclear disaster. this nuclear event caused damage, displacement, and long-term health effects, especially for infant girls. ",841
this nuclear event,-1,damage,7,"the fukushima disaster impacted the residents of fukushima, japan. the tohoku earthquake created a tsunami, and in turn, nuclear disaster. this nuclear event caused damage, displacement, and long-term health effects, especially for infant girls. ",842
this nuclear event,-1,displacement,14,"the fukushima disaster impacted the residents of fukushima, japan. the tohoku earthquake created a tsunami, and in turn, nuclear disaster. this nuclear event caused damage, displacement, and long-term health effects, especially for infant girls. ",843
this nuclear event,-1,long,-1,"the fukushima disaster impacted the residents of fukushima, japan. the tohoku earthquake created a tsunami, and in turn, nuclear disaster. this nuclear event caused damage, displacement, and long-term health effects, especially for infant girls. ",844
a earthquake,1,a devistating tsunami wave,-1,"there was a devistating tsunami wave that hit japan which was caused by a earthquake. it displaced 156,000 people. the effects are still being felt of this even til this day",845
a earthquake,1,a tsunami,6,"the 2011 nuclear disaster in fukushima  was a horrible chain of events. it started with a earthquake, which triggered a tsunami with up to 130 foot waves. one hit the power plant and caused radioactive isotopes and hit as far as california.",846
a earthquake,1,radioactive isotopes,3,"the 2011 nuclear disaster in fukushima  was a horrible chain of events. it started with a earthquake, which triggered a tsunami with up to 130 foot waves. one hit the power plant and caused radioactive isotopes and hit as far as california.",847
a record setting earthquake,-1,radiation,3,"my heart goes out to the people in fukushima, japan as they have endured a terrible disaster. a record setting earthquake has caused the nuclear power plant to spew radiation into the water. this is an event that will forever change the environment and the world. ",848
fukushima disaster,0,an earthquake,1,fukushima disaster in 2011 was a major event. the results of the event produced an earthquake and tsunami. its effects have been seen in the ocean as far as california. it has also had devastating effects on the health of many people.,849
fukushima disaster,0,tsunami,6,fukushima disaster in 2011 was a major event. the results of the event produced an earthquake and tsunami. its effects have been seen in the ocean as far as california. it has also had devastating effects on the health of many people.,850
the results,8,an earthquake,1,fukushima disaster in 2011 was a major event. the results of the event produced an earthquake and tsunami. its effects have been seen in the ocean as far as california. it has also had devastating effects on the health of many people.,851
the results,8,tsunami,6,fukushima disaster in 2011 was a major event. the results of the event produced an earthquake and tsunami. its effects have been seen in the ocean as far as california. it has also had devastating effects on the health of many people.,852
the tohoku earthquake,15,this disaster,4,"the fukushima nuclear 2011 disaster was a very scary event for every individual who experienced about it. the cause of this disaster was the tohoku earthquake on march 11, 2011.",853
a nuclear disaster,0,radioactive material,3,"in 2011 in fukushima, japan a nuclear disaster occurred and resulted in radioactive material around the area. including all the way to the pacific ocean and coast of california. young girls born during this time can experience thyroid cancer because of this disaster.",854
this disaster,4,thyroid cancer,19,"in 2011 in fukushima, japan a nuclear disaster occurred and resulted in radioactive material around the area. including all the way to the pacific ocean and coast of california. young girls born during this time can experience thyroid cancer because of this disaster.",855
the earthquake,1,a tsunami,6,there was a huge tragedy that affected a large population in japan. the earthquake caused a tsunami which caused major damage and issues to a nuclear power plant,856
a tsunami,6,major damage,7,there was a huge tragedy that affected a large population in japan. the earthquake caused a tsunami which caused major damage and issues to a nuclear power plant,857
a tsunami,6,issues,8,there was a huge tragedy that affected a large population in japan. the earthquake caused a tsunami which caused major damage and issues to a nuclear power plant,858
earthquake,1,tsunami,6,"earthquake caused tsunami in fukushima, 2011. nuclear power plant experienced leak of radioactive waste, causing contamination in the water as far away as cali.",859
leak,3,contamination,3,"earthquake caused tsunami in fukushima, 2011. nuclear power plant experienced leak of radioactive waste, causing contamination in the water as far away as cali.",860
the nuclear plant crisis,0,serious issues,8,"the nuclear plant crisis caused serious issues for the japanese, but did prove the country's ability to ban together to reduce energy consumption.",861
the japan nuclear disaster,0,an energy disaster,2,"the japan nuclear disaster, tsunami and earthquake in 2011 was so sad. it caused an energy disaster too.",862
tsunami,6,an energy disaster,2,"the japan nuclear disaster, tsunami and earthquake in 2011 was so sad. it caused an energy disaster too.",863
earthquake,1,an energy disaster,2,"the japan nuclear disaster, tsunami and earthquake in 2011 was so sad. it caused an energy disaster too.",864
a domino effect,5,the fukushima nuclear disaster,0,"the fukushima nuclear disaster of 2011 was the result of a domino effect of natural disasters, and it caused widespread and detrimental impacts in japan and around the world. 150,000 people were displaced, and radioactive isotopes reached the united states west coast.",865
natural disasters,17,widespread and detrimental impacts,5,"the fukushima nuclear disaster of 2011 was the result of a domino effect of natural disasters, and it caused widespread and detrimental impacts in japan and around the world. 150,000 people were displaced, and radioactive isotopes reached the united states west coast.",866
fukushima 's nuclear disaster,0,problems,8,"fukushima's nuclear disaster in 2011 caused a lot of problems for japan's citizens, both short and long-term. much of the population had to cut their power usage, while infants in the area exposed to radiation are subject to a sizable risk for developing cancer. ",867
japan 's largest recorded earthquake,1,tsunami,6,japan's largest recorded earthquake caused tsunami which damaged the fukushima nuclear reactor causing widespread radiation leak,868
tsunami,6,widespread radiation leak,3,japan's largest recorded earthquake caused tsunami which damaged the fukushima nuclear reactor causing widespread radiation leak,869
an earthquake,1,a bid disaster,4,in 2011 was a bid disaster in japan after an earthquake a big tsunami damaged a nuclear power plant affecting many people in japan and large quantities of radioactive particles were found shortly  after in the pacific coast and some part of the california coast . ,870
the fukushima nuclear disaster,0,damage,7,"in 2011 the fukushima nuclear disaster devastated japan and caused damage to over a hundred thousand residents of fukushima and surrounding areas. fukushima is still recovering to this day thanks to efforts such as setsuden, where the civilians banded together to save energy.",871
the nuclear disaster,0,increased radiation,3,"the nuclear disaster in fukushima was a horrible event that still harms the area today, leading to increased radiation and greater risk of thyroid cancer in women. japan was, however, able to successful campaign for energy saving measures that have been embraced by the public.",872
the nuclear disaster,0,thyroid cancer,19,"the nuclear disaster in fukushima was a horrible event that still harms the area today, leading to increased radiation and greater risk of thyroid cancer in women. japan was, however, able to successful campaign for energy saving measures that have been embraced by the public.",873
a earthquake driven tsunami,6,the fukishima meltdown,0,the fukishima meltdown was a tragic happening that occurred when a earthquake driven tsunami hit a nuclear power plant. the effects are still felt to this day. a silver lining was japanese energy reform.,874
an earthquake,1,the fukushima nuclear disaster,0,the fukushima nuclear disaster was caused by an earthquake. the aftermath caused radioactive particles to be found all over the pacific ocean and even the californian coast.,875
the aftermath,4,radioactive particles,3,the fukushima nuclear disaster was caused by an earthquake. the aftermath caused radioactive particles to be found all over the pacific ocean and even the californian coast.,876
nuclear disaster,0,major earthquake,1,nuclear disaster causes major earthquake and tsuani in fukushima. many citizens where displaced and it also resulted in an energy shortage that inspired the country to cut back on energy usage. particles from this event showed up as far as the coast of california!,877
nuclear disaster,0,tsuani,18,nuclear disaster causes major earthquake and tsuani in fukushima. many citizens where displaced and it also resulted in an energy shortage that inspired the country to cut back on energy usage. particles from this event showed up as far as the coast of california!,878
nuclear disaster,0,an energy shortage,2,nuclear disaster causes major earthquake and tsuani in fukushima. many citizens where displaced and it also resulted in an energy shortage that inspired the country to cut back on energy usage. particles from this event showed up as far as the coast of california!,879
a tsunami,6,the fukushima meltdown,0,"following the fukushima meltdown resulting from a tsunami, japanese citizens banded together to collectively reduce their energy use. ",880
an earthquake,1,a wave,11,an earthquake i japan caused a wave to damage a nuclear power plant. the resulting disaster left radioactive isotopes released and spreading causing thyroid cancer in young girls.,881
an earthquake,1,thyroid cancer,19,an earthquake i japan caused a wave to damage a nuclear power plant. the resulting disaster left radioactive isotopes released and spreading causing thyroid cancer in young girls.,882
the earthquake,1,a tsunami,6,such a horrible situation in japan following the earthquake that caused a tsunami that wreaked havoc on the whole island of japan. the fukushima nuclear power plant was affected by the tsunami and earthquake which caused a natural disaster.,883
the tsunami,6,a tsunami,6,such a horrible situation in japan following the earthquake that caused a tsunami that wreaked havoc on the whole island of japan. the fukushima nuclear power plant was affected by the tsunami and earthquake which caused a natural disaster.,884
earthquake,1,a natural disaster,17,such a horrible situation in japan following the earthquake that caused a tsunami that wreaked havoc on the whole island of japan. the fukushima nuclear power plant was affected by the tsunami and earthquake which caused a natural disaster.,885
tsunami disaster,6,nuclear meltdown,0,tsunami disaster in japan causes nuclear meltdown and increase in thyroid cancer risk for girls. ,886
a earthquake,1,a nuclear catastrophe,0,a earthquake caused a nuclear catastrophe at a nuclear power plant in japan.  radiation contamination resulted.  there are health concerns,887
a earthquake,1,radiation contamination,3,a earthquake caused a nuclear catastrophe at a nuclear power plant in japan.  radiation contamination resulted.  there are health concerns,888
the fukushima disaster,0,a massive displacement,14,"the fukushima disaster caused a massive displacement in japan that impacts people to this day. in response, the government imposed setsuden, or the practice of saving energy, to help combat the energy crisis. ",889
a record breaking earthquake,-1,the catastrophic nuclear event,-1,"a tragic day for the japanese history. many may never forget march 11, 2011 for the catastrophic nuclear event caused by a record breaking earthquake.",890
the earthquake,1,the nuclear disaster,0,the nuclear disaster caused by the earthquake and tsunami in fukushima has displaced many and caused problems for the united states as well. ,891
tsunami,6,the nuclear disaster,0,the nuclear disaster caused by the earthquake and tsunami in fukushima has displaced many and caused problems for the united states as well. ,892
earthquake,1,a huge tsunami,1,earthquake in japan created a huge tsunami which affected a nuclear site and the effects were felt all the way in the pacific ocean as far as california. high risk of thyroid cancer is young females. ,893
a massive earthwuake,1,to suffer,-1,a massive earthwuake struck of coast of japan which caused fukushimas nuclear power plant to suffer. this will affect as much as 156k people and many animals and fish in the surrounding area. this affects the whole world and we need to prevent this in the future as much as we can,894
a tragic natural disaster,17,a nuclear event,-1,a tragic natural disaster that lead to a nuclear event that will change the world for many generations. we need safe nuclear power and regulation.,895
the fukushima nuclear disaster,0,great damages,7,"the fukushima nuclear disaster had effects that are still felt to this day. people's health and property suffered great damages world wide. but some good came out of it in the form of energy conservation policies, reducing the consumption among both residential and corporations.",896
a record breaking earthquake,-1,a tsunami,6,the accident that happened in 2011 in japan was so tragic. a record breaking earthquake leading to a tsunami damaged a nuclear power plant. that led to disaster in so many ways. exposed infant girls even have a 70% chance of getting thyroid cancer because of it. ,897
a record breaking earthquake,-1,disaster,4,the accident that happened in 2011 in japan was so tragic. a record breaking earthquake leading to a tsunami damaged a nuclear power plant. that led to disaster in so many ways. exposed infant girls even have a 70% chance of getting thyroid cancer because of it. ,898
a record breaking earthquake,-1,thyroid cancer,19,the accident that happened in 2011 in japan was so tragic. a record breaking earthquake leading to a tsunami damaged a nuclear power plant. that led to disaster in so many ways. exposed infant girls even have a 70% chance of getting thyroid cancer because of it. ,899
this disaster,4,thyroid cancer,19,"this was a preventable disaster. not only has it affected those that live in japan, but it's effects can be seen as far as california. people were displaced and some people are at a higher risk of thyroid cancer due to this disaster. ",900
japan 's largest earthquake,1,the 2011 fukushima nuclear disaster,0,"the 2011 fukushima nuclear disaster was caused by japan's largest earthquake. the disaster caused ongoing  health concerns, including a significant increase in thyroid cancer among girls. there was also an exclusion zone surrounding the disaster.  ",901
the disaster,4,ongoing health concerns,10,"the 2011 fukushima nuclear disaster was caused by japan's largest earthquake. the disaster caused ongoing  health concerns, including a significant increase in thyroid cancer among girls. there was also an exclusion zone surrounding the disaster.  ",902
devastating earthquake,1,tsunami,6,devastating earthquake causes tsunami that hits nuclear power plant causing radioactive isotopes to go in the sea.,903
a disaster,4,change,9,"sometimes, it takes a disaster for change to occur.",904
the most significant earthquakes,1,a huge chain reaction,0,in march of 2011 one of the most significant earthquakes hit japan causing a huge chain reaction of event including a tsunami ,905
a natural disaster,17,a chain reaction,0,a natural disaster led to a chain reaction which caused 160000 lives to be effected. nuclear energy combined with a massive tsunami left thousands in radiation filled waters and lots of women with thyroid cancer.,906
a nuclear disaster,0,tsunamis,6,in fukushima japan in 2011 a nuclear disaster occured that caused tsunamis and earthquakes and contaminated the local water supply. the disaster also caused a seventy percent increase in likelihood of females developing thyroid cancer. this event needs the governments help. ,907
the disaster,4,earthquakes,1,in fukushima japan in 2011 a nuclear disaster occured that caused tsunamis and earthquakes and contaminated the local water supply. the disaster also caused a seventy percent increase in likelihood of females developing thyroid cancer. this event needs the governments help. ,908
the earthquake,1,a tsunami,6,the fukushima nuclear disaster in 2011 was devastating. the earthquake that caused a tsunami destroyed lives and spilled radioactive waste into the sea. ,909
an earthquake,1,a nuclear accident,0,japan experienced a nuclear accident in 2011 due to an earthquake that caused a giant tsunami. it destroyed the powerplant and caused radioactive particles to leak into the ocean and causing issues like thyroid cancer in up to 70% female infants. was found in pacific ocean.,910
an earthquake,1,a giant tsunami,1,japan experienced a nuclear accident in 2011 due to an earthquake that caused a giant tsunami. it destroyed the powerplant and caused radioactive particles to leak into the ocean and causing issues like thyroid cancer in up to 70% female infants. was found in pacific ocean.,911
an earthquake,1,thyroid cancer,19,japan experienced a nuclear accident in 2011 due to an earthquake that caused a giant tsunami. it destroyed the powerplant and caused radioactive particles to leak into the ocean and causing issues like thyroid cancer in up to 70% female infants. was found in pacific ocean.,912
humans,-1,such mass destruction,13,i am not suprised that we as humans have caused such mass destruction by our greed. there is nothing i fear more than dying in a natural disaster. this makes me worry about my children's future. ,913
our greed,-1,such mass destruction,13,i am not suprised that we as humans have caused such mass destruction by our greed. there is nothing i fear more than dying in a natural disaster. this makes me worry about my children's future. ,914
two natural disasters,17,significant damage,7,devastating news out of japan - two natural disasters caused significant damage to a power plant. the effects will have long-lasting consequences for many people's health and livelihoods. ,915
earthquake,1,a nuclear disaster,0,earthquake in japan causes a nuclear disaster affecting surrounding areas and people. energy conservation measures are taken. ,916
an earthquake,1,the fukushima nuclear disaster,0,the fukushima nuclear disaster was caused by an earthquake-triggered tsunami that destroyed daiichi nuclear power plant and led to radiation spillage into the pacific ocean,917
an earthquake,1,radiation spillage,3,the fukushima nuclear disaster was caused by an earthquake-triggered tsunami that destroyed daiichi nuclear power plant and led to radiation spillage into the pacific ocean,918
the tsunami,6,damage,7,the 2011 tohoku earthquake and tsunami was a historic event that left many people displaced and lost their lives. the tsunami caused damage to a powerplant that in turn caused radioactive waste to pour into the sea and eventually made its way to the califonia coast.,919
japan 's disaster,0,severe negative consequences,5,japan's disaster caused severe negative consequences... lower energy consumption and pray for japan!,920
japan 's strongest earthquake,1,the 2011 fukushima disaster,0,"the 2011 fukushima disaster, caused by japan's strongest earthquake and a massive tsunami, released radioactive particles into the pacific, reaching as far as california. it displaced 156,000 people and led to , a national movement to save energy",921
a massive tsunami,1,the 2011 fukushima disaster,0,"the 2011 fukushima disaster, caused by japan's strongest earthquake and a massive tsunami, released radioactive particles into the pacific, reaching as far as california. it displaced 156,000 people and led to , a national movement to save energy",922
the tohoku earthquake,15,the fukushima disaster,0,"the fukushima disaster, sparked by the tōhoku earthquake and tsunami, displaced 156,000 people and left a lasting impact on japan. the setsuden movement emerged, highlighting the nation's resilience and commitment to energy conservation. fukushima tōhokuearthquake setsuden",923
tsunami,6,the fukushima disaster,0,"the fukushima disaster, sparked by the tōhoku earthquake and tsunami, displaced 156,000 people and left a lasting impact on japan. the setsuden movement emerged, highlighting the nation's resilience and commitment to energy conservation. fukushima tōhokuearthquake setsuden",924
the tohoku earthquake,15,the fukushima nuclear disaster,0,"in 2011, the tōhoku earthquake and tsunami triggered the fukushima nuclear disaster, leading to massive displacement and environmental damage. japan's setsuden movement showcased a powerful response to an energy crisis. fukushima tsunami energyconservation",925
tsunami,6,the fukushima nuclear disaster,0,"in 2011, the tōhoku earthquake and tsunami triggered the fukushima nuclear disaster, leading to massive displacement and environmental damage. japan's setsuden movement showcased a powerful response to an energy crisis. fukushima tsunami energyconservation",926
the fukushima nuclear disaster,0,massive displacement,14,"in 2011, the tōhoku earthquake and tsunami triggered the fukushima nuclear disaster, leading to massive displacement and environmental damage. japan's setsuden movement showcased a powerful response to an energy crisis. fukushima tsunami energyconservation",927
the fukushima nuclear disaster,0,environmental damage,5,"in 2011, the tōhoku earthquake and tsunami triggered the fukushima nuclear disaster, leading to massive displacement and environmental damage. japan's setsuden movement showcased a powerful response to an energy crisis. fukushima tsunami energyconservation",928
an earthquake,1,a big tsunami,1,"what a tragedy in japan! an earthquake, that causes so much destruction, which created a big tsunami that also caused so much destruction that then caused a nuclear disaster! how much more can japan take? what a disaster! my heart goes to all the people in japan going through it!",929
an earthquake,1,so much,1,"what a tragedy in japan! an earthquake, that causes so much destruction, which created a big tsunami that also caused so much destruction that then caused a nuclear disaster! how much more can japan take? what a disaster! my heart goes to all the people in japan going through it!",930
a big tsunami,1,a nuclear disaster,0,"what a tragedy in japan! an earthquake, that causes so much destruction, which created a big tsunami that also caused so much destruction that then caused a nuclear disaster! how much more can japan take? what a disaster! my heart goes to all the people in japan going through it!",931
a devastating earthquake,1,a nuclear disaster,0,"over 13 years ago, a nuclear disaster occurred in fukushima, japan after a devastating earthquake and tsunami",932
tsunami,6,a nuclear disaster,0,"over 13 years ago, a nuclear disaster occurred in fukushima, japan after a devastating earthquake and tsunami",933
the earthquake,1,the natural disaster,17,"the natural disaster in japan was due to the earthquake and tsunami. due to the energy shortage, japan has to preserve their energy and reduce their electricity usage. it has been reported that these effects may cause infant girls to develop thyroid cancer.",934
tsunami,6,the natural disaster,17,"the natural disaster in japan was due to the earthquake and tsunami. due to the energy shortage, japan has to preserve their energy and reduce their electricity usage. it has been reported that these effects may cause infant girls to develop thyroid cancer.",935
the fukushima disaster,0,widespread displacement,14,"the fukushima disaster of 2011 damaged a nearby power plant, which caused widespread displacement and nuclear radiation damage that is still causing health issues to this day",936
the fukushima disaster,0,nuclear radiation damage,3,"the fukushima disaster of 2011 damaged a nearby power plant, which caused widespread displacement and nuclear radiation damage that is still causing health issues to this day",937
nuclear radiation damage,3,health issues,10,"the fukushima disaster of 2011 damaged a nearby power plant, which caused widespread displacement and nuclear radiation damage that is still causing health issues to this day",938
2011 fukushima earthquake,0,devastating tsunami,6,"2011 fukushima earthquake triggers devastating tsunami causing nuclear plant reactor meltdown. impact on health, efforts to clean up, and conserve energy continue.",939
devastating tsunami,6,nuclear plant reactor meltdown,0,"2011 fukushima earthquake triggers devastating tsunami causing nuclear plant reactor meltdown. impact on health, efforts to clean up, and conserve energy continue.",940
tsunami,6,a nuclear power plant accident,0,"a nuclear power plant accident occurred in japan in 2011 as the result of tsunami caused by an earthquake. a 100 foot expulsion zone was placed around the power plant which ended up displacing 156k people. the japanese gov. asked people to save energy, a movement called setsuden.",941
an earthquake,1,tsunami,6,"a nuclear power plant accident occurred in japan in 2011 as the result of tsunami caused by an earthquake. a 100 foot expulsion zone was placed around the power plant which ended up displacing 156k people. the japanese gov. asked people to save energy, a movement called setsuden.",942
an earthquake,1,the nuclear meltdown,0,an earthquake caused a chain of events in japan!  the nuclear meltdown of 2011 started with an earthquake that caused a tsunami that caused a nuclear meltdown!  this caused policies to change regarding energy and survivors are still recovering today!!,943
an earthquake,1,a tsunami,6,an earthquake caused a chain of events in japan!  the nuclear meltdown of 2011 started with an earthquake that caused a tsunami that caused a nuclear meltdown!  this caused policies to change regarding energy and survivors are still recovering today!!,944
a tsunami,6,a nuclear meltdown,0,an earthquake caused a chain of events in japan!  the nuclear meltdown of 2011 started with an earthquake that caused a tsunami that caused a nuclear meltdown!  this caused policies to change regarding energy and survivors are still recovering today!!,945
the biggest earthquakes,-1,a change,9,"march 11, 2011 one of the biggest earthquakes in japan happened. resulting in a change of the way that energy was consumed. ",946
the tsunami,6,damage,7,"a natural disaster has hit japan with widespread havoc all over the city. the tsunami has caused damage to the nuclear power plant which has urged japan to encourage its residents to cut back on electricity usage,
",947
the tohoku earthquake,15,grave health concerns,10,"history. nuclear disaster at a power plant in fukshima, japan. caused by the tohoku earthquake. allowed the reactor coolant to discharge into the see. particles were located in ca. everyone started saving energy and changed energy policies. it created grave health concerns. ",948
a nuclear disaster,0,devastated,-1,"in 2011, fukushima, japan was devastated by a nuclear disaster, earthquake, and tsunami that displaced over 150k inhabitants. the women born there are 70% more likely to develop thyroid cancer. the area has been closed off ever since. ",949
earthquake,1,devastated,-1,"in 2011, fukushima, japan was devastated by a nuclear disaster, earthquake, and tsunami that displaced over 150k inhabitants. the women born there are 70% more likely to develop thyroid cancer. the area has been closed off ever since. ",950
tsunami,6,devastated,-1,"in 2011, fukushima, japan was devastated by a nuclear disaster, earthquake, and tsunami that displaced over 150k inhabitants. the women born there are 70% more likely to develop thyroid cancer. the area has been closed off ever since. ",951
this earthquake,1,a tsunami,6,today the most powerful earthquake ever recorded in japan struck the nuclear power plant! this earthquake triggered a tsunami that which caused directed damage to the nuclear power plant! the poor people were caught suddenly with this strike.people have lost homes and loved ones.,952
a tsunami,6,directed damage,7,today the most powerful earthquake ever recorded in japan struck the nuclear power plant! this earthquake triggered a tsunami that which caused directed damage to the nuclear power plant! the poor people were caught suddenly with this strike.people have lost homes and loved ones.,953
this disaster,4,a big push,-1,"the fukushima nuclear disaster in 2011 was a huge, globally impactful event. 156000 people were displaced and 50 workers were in the plant at the time of the disaster. a big push for energy conservation emerged from this disaster. ",954
tohoku earthquake,15,tsunami,6,tohoku earthquake sparks tsunami leading to a nuclear accident in japan,955
tsunami,6,a nuclear accident,0,tohoku earthquake sparks tsunami leading to a nuclear accident in japan,956
